id;cost;status
1;39599.845516;0.000000
2;51170.178977;0.000000
3;6629451.892742;0.000000
4;6956476.315654;0.000000
5;7339247.884063;0.000000
6;7669959.893405;0.000000
7;7928059.035507;0.000000
8;8093298.307581;0.000000
9;7404227.429180;0.000000
10;7599789.476662;0.000000
11;7705456.126045;0.000000
12;169075.586343;0.000000
13;241928.304041;0.000000
14;225679.980483;0.000000
15;87325.190552;0.000000
16;5339.247829;0.000000
17;35931.221435;0.000000
18;225481.460111;0.000000
19;492411.016553;0.000000
20;742997.340134;0.000000
21;720549.831528;0.000000
22;656072.992290;0.000000
23;596152.496499;0.000000
24;540511.155323;0.000000
25;557056.251904;0.000000
26;500266.521768;0.000000
27;159029.837541;0.000000
28;2636.581644;0.000000
29;48240.024148;0.000000
30;86920.427304;0.000000
31;113663.766467;0.000000
32;113377.280675;0.000000
33;96227.016487;0.000000
34;72443.894953;0.000000
35;46636.054273;0.000000
36;12117.793354;0.000000
37;99948.563350;0.000000
38;529205.614937;0.000000
39;812446.598377;0.000000
40;804029.625530;0.000000
41;822720.839255;0.000000
42;771078.299351;0.000000
43;710707.357475;0.000000
44;653002.146015;0.000000
45;596150.806735;0.000000
46;543220.152466;0.000000
47;586599.594930;0.000000
48;645260.308936;0.000000
49;701355.854779;0.000000
50;331083.447244;0.000000
51;28485.855278;0.000000
52;184488.201407;0.000000
53;303801.571933;0.000000
54;301639.776847;0.000000
55;274863.374364;0.000000
56;253501.818576;0.000000
57;231492.710156;0.000000
58;212349.552783;0.000000
59;195036.017264;0.000000
60;178408.590092;0.000000
61;161978.887533;0.000000
62;123980.470706;0.000000
63;76811.245284;0.000000
64;58158.053043;0.000000
65;59727.112449;0.000000
66;45760.367612;0.000000
67;46023.280508;0.000000
68;51394.045292;0.000000
69;49597.200038;0.000000
70;39254.552932;0.000000
71;75677.804498;0.000000
72;135559.504427;0.000000
73;160875.238534;0.000000
74;206855.945455;0.000000
75;185743.814818;0.000000
76;345254.147072;0.000000
77;470142.049600;0.000000
78;505921.383461;0.000000
79;471178.961182;0.000000
80;634972.537523;0.000000
81;787344.185213;0.000000
82;784615.357156;0.000000
83;738739.278542;0.000000
84;749671.523688;0.000000
85;720478.565414;0.000000
86;670264.606794;0.000000
87;618983.401279;0.000000
88;595804.090512;0.000000
89;567326.406496;0.000000
